FOLIO;COMUNA;DIRECCION
41073009;SAN BERNARDO;BERNARDO O´HIGGINS  528
31811001;VALPARAISO;RUTA 68 1150
31811002;VALPARAISO;ERRAZURIZ 1306
31812001;VALPARAISO;ESPAÑA ESQ YOLANDA
31812002;VALPARAISO;ERRAZURIZ 798
32025001;VIÑA DEL MAR;7 NORTE 645
32029001;VIÑA DEL MAR;BORGOÑO 14410
32029002;VIÑA DEL MAR;LIBERTAD 800-828
32810001;VIÑA DEL MAR;JORGE MONTT 2300
32810006;VIÑA DEL MAR;EDMUNDO ELUCHANS 2850
32810008;VALPARAISO;RUTA 68 KM 105, PLACILLA
32810009;VIÑA DEL MAR;TROCAL SUR  KM 106.65
32811004;VALPARAISO;JORGE MONTT 1700
32812004;VIÑA DEL MAR;LIBERTAD 602
32812005;VALPARAISO;RUTA 68, KILIMETRO 98.1, PLACILLA
32812006;VIÑA DEL MAR;CAMINO INTERNACIONAL 1350
33009001;CONCON;AVENIDA CON CON-REÑACA 243
33009002;CONCON;LAS ENCINAS 1390 LOCAL 2 LOS ROMEROS
37009001;LA LIGUA;SARGENTO ALDEA 135 B
34009001;MAITENCILLO;SAN ISIDRO MZ DST 21
34009002;PUCHUNCAVI;CENTRAL ESQ. SILVIA HERRERA 886
34009003;PUCHUNCAVI;JOSE RAMON 175, TANGANANITO
37009002;QUILLOTA;ARIZTIA 256, DOÑA INES
37009003;QUILLOTA;CHACABUCO 241
32009001;QUILPUE;LOS CARRERA 0945|QUILPUE
32009002;QUILPUE;MARGA-MARGA 1752
32009003;QUILPUE;MARGA-MARGA 3380
32009004;QUILPUE;OJOS DE AGUA 320
32009005;QUINTERO;ARTURO PRAT 1884
32009006;QUINTERO;NORMANDI 1973
32009007;QUINTERO;NORMANDIE 1857
31009001;VALPARAISO;ARGENTINA 740
31009002;VALPARAISO;BELGRANO 201
31009003;VALPARAISO;LAS HERAS   596
31009004;VALPARAISO;TAHATAI 750
34009004;VILLA ALEMANA;AVENIDA VALPARAISO  1674
34009005;VILLA ALEMANA;JOSE MIGUEL CARRERA  1471|A
32009008;VIÑA DEL MAR;6 ORIENTE 1418
32009009;VIÑA DEL MAR;ALVARES 98
32009010;VIÑA DEL MAR;ANGAMOS 152
32009011;VIÑA DEL MAR;ARLEGUI 1021
32009012;VIÑA DEL MAR;BORGOÑO 13955 LOCAL 3
32009013;VIÑA DEL MAR;CHEAIGNEAUX 132
32009014;VIÑA DEL MAR;ECUADOR 151
32009015;VIÑA DEL MAR;LIBERTAD 50, LOCAL 50
32009016;VIÑA DEL MAR;PLAZA VERGARA 122
32009017;VIÑA DEL MAR;QUINTA 171
32009018;VIÑA DEL MAR;SAN MARTIN SALIDA CASINO 3
32009019;VIÑA DEL MAR;TRASLAVIÑA 134
34009006;ZAPALLAR;MOISES CHACON 1191
32027001;VIÑA DEL MAR;LIBERTAD 1390
32028002;VIÑA DEL MAR;4 PONIENTE 630
32065001;VIÑA DEL MAR;UNO NORTE 2901
32065002;VIÑA DEL MAR;CONCON REÑACA 3850
32073001;VIÑA DEL MAR;ALESSANDRI 4085
32087001;VIÑA DEL MAR;15 NORTE
51009001;CURICO;BALMACEDA 1601 A 
51009002;CURICO;COLON 998 B
51009003;CURICO;MANSO DE VELASCO 1164
51009004;CURICO;MANZO VELASCO 67 DPTO A-B
51009005;CURICO;PRATT 780
51027002;CURICO;ALESSANDRI 1210
51028001;CURICO;ESTADO 43
51812001;CURICO;PANAMERICANA SUR KM 195
51813001;CURICO;PANAMERICANA SUR KM 195.7, SAGRADA FAMILIA
36073001;LA CALERA;PROLONGACION JJ PEREZ 5810
41027016;LA CISTERNA;OSSA 36 
41073007;EL BOSQUE;JOSE MIGUEL CARRERA  10445
41087017;EL BOSQUE;RIQUELME 69
42073007;BUIN;SAN MARTIN  174
21009001;COPIAPO;ATACAMA  44   |  
21009002;COPIAPO;CHAÑARCILLO 690|COPIAPO
21009003;COPIAPO;EL PALOMAR 2559|EL PALOMAR
21009004;COPIAPO;INCA DE ORO ESTACION PAIPOTE 732, LOCAL
21009005;COPIAPO;INFANTE ESQ.  CHACABUCO
21009006;COPIAPO;JUAN MARTINEZ   95
21009007;COPIAPO;JUAN MARTINEZ  309
21009008;COPIAPO;JUAN MARTINEZ  772
21009009;COPIAPO;LOS AROMOS 1786, STA ELVIRA
21009010;COPIAPO;LOS CARRERAS 2242|INTERIOR UNIMARC
21009011;COPIAPO;VICENTE MERINO JARPA ESTACION PAIPOTE 5192
21009012;COPIAPO;VILLA MODELO PEDRO DE VALDIVIA  681
21028004;COPIAPO;EL PALOMAR  1525
21810001;COPIAPO;PANAMERICANA NORTE KM 811
21810002;COPIAPO;PANAMERICANA NORTE ACCESO SUR
21811001;COPIAPO;COPAYAPU  957
13028004;ANTOFAGASTA;JOSE MIGUEL CARRERA 1527
13065001;ANTOFAGASTA;ANGAMOS 777
13073002;ANTOFAGASTA;BALMACEDA  2355
71009001;VALDIVIA;ANIBAL PINTO  1705
71009002;VALDIVIA;BUERAS  315
71009003;VALDIVIA;COCHRANE 548
71009004;VALDIVIA;GRAL. YAÑEZ 499
71009005;VALDIVIA;LORD COCHRANE  215
71009006;VALDIVIA;LOS BOLDOS  339
71009007;VALDIVIA;LOS ROBLES 1345, ISLA TEJA
71009008;VALDIVIA;PEDRO AGUIRRE CERDA  1610 
71009009;VALDIVIA;PICARTE 1009
71009010;VALDIVIA;RENE SCHNEIDER  2978 B
71009011;VALDIVIA;VOLCAN ANTUCO  3432, BOSQUE DE ENTRERIOS
63027009;TEMUCO;MANUEL MONTT 1100
63087002;TEMUCO;GABRIELA MISTRAL 2621
43065001;RANCAGUA;PRESIDENTE FREI 750
43087001;RANCAGUA;EDUARDO FREI MONTALVA 190
43087003;RANCAGUA;RECREO 620
43073003;RANCAGUA;CUEVAS 405
43810001;RANCAGUA;BERNARDO OHIGGINS 790
43813001;RANCAGUA;BALMACEDA 9
43813002;RANCAGUA;REPUBLICA DE CHILE 0180
41009089;MACHALI;SAN JUAN 1216
43009001;RANCAGUA;ASTORGA 307  LOCAL 1 Y 2
43009002;RANCAGUA;BERNARDO OHIGGINS  96
43009003;RANCAGUA;BERNARDO OHIGGINS 0484
43009004;RANCAGUA;BERNARDO OHIGGINS 0484|54
43009005;RANCAGUA;BERNARDO OHIGGINS 301 LOCAL-2
43009006;RANCAGUA;CAMINO SAN RAMON 3202
43009007;RANCAGUA;ILLANES 1031
43009008;RANCAGUA;KENNEDY 2012
43009009;RANCAGUA;LA  COMPAÑIA  VILLA TENIENTE 01340
43009010;RANCAGUA;LAS TARRIAS  602
43009011;RANCAGUA;RECREO 779, MANSO DE VELASCO
43009012;RANCAGUA;TAL - TAL 1312, VILLA GIRASOLES
41065005;LAS CONDES;FCO. BILBAO 8750
41065016;LO BARNECHEA;LOS TRAPENSES 3515
41087025;LA REINA;PRINCIPE DE GALES  9140
23009001;COQUIMBO;ALESSANDRI 2078, SINDEMPART
23009002;COQUIMBO;ASENTAMIENTO SAN RAFAEL 15, PAN DE AZUCAR
23009003;COQUIMBO;GOMEZ CARRENO 19
23009004;COQUIMBO;HACIENDA VENUS 0|PAN DE AZUCAR
23009005;COQUIMBO;JOSE J PEREZ 3928
23009006;COQUIMBO;JUAN ANTONIO RIOS 505
23009007;COQUIMBO;LA CANTERA  220  B
23009008;COQUIMBO;PARCELA PAN DE AZUCAR 14|LOCAL
23009009;COQUIMBO;RENE SCHNNEIDER 1475, BOSQUE SAN CARLOS
23009010;COQUIMBO;RIO HURTADO VILLA DEL MAR 881
23009011;COQUIMBO;SUECIA S/N LAS ENCINAS
23009012;COQUIMBO;TALCA   880-B
23009013;COQUIMBO;VALDIVIA. TS. BLANCAS 508
23027002;COQUIMBO;JUAN DOMINGO ARCE S/N
23028001;LA SERENA;ALESSANDRI 531
23028004;COQUIMBO;VARELA 1480
23087001;COQUIMBO;DOMEYKO 55
23811001;COQUIMBO;PANMERICANA NORTE KM 455
23813001;COQUIMBO;PANAMERICANA NORTE KM 460
61009001;CHIGUAYANTE;BERNARDO OHIGGINS 2394
61009002;CHIGUAYANTE;MANUEL RODRIGUEZ 870, 858-859
61027007;CONCEPCION;BARROS ARANA  569
61065002;CONCEPCION;COSTANERA RIVERA NORTE  9781
61065003;CONCEPCION;BARROS/OROMPELLO
61087001;CHIGUAYANTE;PRAT 651
41065010;PUENTE ALTO;SANTO DOMINGO 67
41065011;MACUL;JOSE PEDRO ALESSANDRI 1166
41065013;PUENTE ALTO;CONCHA Y TORO 3854
63810003;TEMUCO;ALEMANIA 085
63811002;TEMUCO;CAUPOLICAN CON OHIGGINS
63811003;TEMUCO;PABLO NERUDA 2221
63812001;TEMUCO;PANAMERICANA SUR KM 2
63813001;TEMUCO;CAUPOLICAN  015
64009001;ANGOL;COLIPI 701, ALA SUR
64009002;ANGOL;VERGARA 55, DISTRIBUIDORA ENE
63009001;TEMUCO;ALEMANIA  01591
63009002;TEMUCO;ANDES 480
