COD_AUD;FOLIO
34;41073009
322;31811001
322;31811002
322;31812001
322;31812002
322;32025001
322;32029001
322;32029002
322;32810001
322;32810006
322;32810008
322;32810009
322;32811004
322;32812004
322;32812005
322;32812006
322;33009001
322;33009002
322;37009001
322;34009001
322;34009002
322;34009003
322;37009002
322;37009003
322;32009001
322;32009002
322;32009003
322;32009004
322;32009005
322;32009006
322;32009007
322;31009001
322;31009002
322;31009003
322;31009004
322;34009004
322;34009005
322;32009008
322;32009009
322;32009010
322;32009011
322;32009012
322;32009013
322;32009014
322;32009015
322;32009016
322;32009017
322;32009018
322;32009019
322;34009006
330;32027001
330;32028002
330;32065001
330;32065002
330;32073001
330;32087001
513;51009001
513;51009002
513;51009003
513;51009004
513;51009005
513;51027002
513;51028001
513;51812001
513;51813001
360;36073001
33;41027016
33;41073007
33;41087017
33;42073007
210;21009001
210;21009002
210;21009003
210;21009004
210;21009005
210;21009006
210;21009007
210;21009008
210;21009009
210;21009010
210;21009011
210;21009012
210;21028004
210;21810001
210;21810002
210;21811001
137;13028004
137;13065001
137;13073002
710;71009001
710;71009002
710;71009003
710;71009004
710;71009005
710;71009006
710;71009007
710;71009008
710;71009009
710;71009010
710;71009011
637;63027009
637;63087002
482;43065001
482;43087001
482;43087003
480;43073003
480;43810001
480;43813001
480;43813002
480;41009089
480;43009001
480;43009002
480;43009003
480;43009004
480;43009005
480;43009006
480;43009007
480;43009008
480;43009009
480;43009010
480;43009011
480;43009012
55;41065005
55;41065016
55;41087025
220;23009001
220;23009002
220;23009003
220;23009004
220;23009005
220;23009006
220;23009007
220;23009008
220;23009009
220;23009010
220;23009011
220;23009012
220;23009013
220;23027002
220;23028001
220;23028004
220;23087001
220;23811001
220;23813001
615;61009001
615;61009002
615;61027007
615;61065002
615;61065003
615;61087001
615;41065010
615;41065011
615;41065013
633;63810003
633;63811002
633;63811003
633;63812001
633;63813001
633;64009001
633;64009002
633;63009001
633;63009002
633;63009003
633;63009004
633;63009005
633;63009006
633;63009007
633;63009008
633;63009009
633;63009010
132;13028005
132;13065002
132;13087001
30;41025001
30;41025002
30;41029002
30;41029003
30;41029004
30;41029005
30;41810002
30;41810010
30;41810013
30;41810014
30;41810032
30;41810033
30;41810034
30;41810035
30;41810036
30;41810039
30;41810041
30;41810042
30;41811003
30;41811004
30;41811005
30;41811010
30;41811011
30;41811012
30;41811014
30;41811015
